,job_title,low_end_salary,middle_range_salary,high_end_salary,company_name,job_location,sector,type_of_ownership,size_of_company,rating_of_company,cost_of_living_index,avg_salary_index,salary_col_differential,lat,lng,state
431,Data Scientist,85000,113500,142000,Lorven Technologies Inc,"Santa Clara, CA",Accounting & Legal,Company - Private,1 to 50 employees,4.0,NaN,110.6,NaN,37.3541079,-121.9552356,CA
432,Senior Data Scientist,95000,124500,154000,Brighthouse Financial,"Charlotte, NC",Insurance,Company - Public,1001 to 5000 employees,3.5,97.9,121.3,87040,35.2270869,-80.8431267,NC
433,Data Scientist,111000,143500,176000,CareDx,"Brisbane, CA",Biotech & Pharmaceuticals,Company - Private,1 to 50 employees,2.5,NaN,139.8,NaN,37.6807661,-122.3999715,CA
434,Data Scientist,87000,113500,140000,Serigor Inc.,"San Francisco, CA",Information Technology,Company - Private,1 to 50 employees,3.9,178.6,110.6,45177,37.7749295,-122.4194155,CA
435,Data Scientist,76000,101500,127000,Leidos,"Springfield, VA",Aerospace & Defense,Company - Public,10000+ employees,3.4,NaN,98.9,NaN,38.7892801,-77.18720359999999,VA
436,"Data Analyst, Performance Partnership",54000,73000,92000,Beckman Coulter Diagnostics,"New York, NY",Manufacturing,Subsidiary or Business Segment,10000+ employees,3.6,128.0,71.1,23997,40.7127753,-74.0059728,NY
437,Data Scientist,61000,80500,100000,IHS Markit,"New York, NY",Business Services,Company - Public,10000+ employees,3.5,128.0,78.4,31489,40.7127753,-74.0059728,NY
438,Staff BI and Data Engineer,80000,114000,148000,Affinity Solutions,"San Jose, CA",Business Services,Company - Private,51 to 200 employees,2.9,173.5,111.1,47642,37.33874,-121.8852525,CA
439,Data Scientist,108000,139500,171000,e-IT Professionals Corp.,"Foster City, CA",Consumer Services,Company - Private,51 to 200 employees,3.5,NaN,135.9,NaN,37.5585465,-122.2710788,CA
440,Data Scientist,112000,145500,179000,TechProjects,"New York, NY",Information Technology,Company - Private,1 to 50 employees,4.8,128.0,141.8,96563,40.7127753,-74.0059728,NY
441,Data Scientist,63000,87000,111000,Biz2Credit Inc,"New York, NY",Finance,Company - Private,201 to 500 employees,4.0,128.0,84.8,38058,40.7127753,-74.0059728,NY
442,Data Scientist,75000,100500,126000,PeoplesBank,"Holyoke, MA",Finance,Company - Private,201 to 500 employees,4.2,NaN,97.9,NaN,42.2042586,-72.6162009,MA
443,Data Scientist Manager,110000,147000,184000,Capgemini,"New York, NY",Information Technology,Company - Public,10000+ employees,3.8,128.0,143.2,98000,40.7127753,-74.0059728,NY
444,Data Engineer,76000,110500,145000,GNY Insurance Companies,"New York, NY",Insurance,Company - Private,201 to 500 employees,3.7,128.0,107.7,61563,40.7127753,-74.0059728,NY
445,Marketing Data Analyst,36000,49000,62000,Citadel Federal Credit Union,"Exton, PA",Finance,Nonprofit Organization,501 to 1000 employees,3.9,NaN,47.7,NaN,40.0325817,-75.6274583,PA
446,Data Scientist,70000,94000,118000,"Conch Technologies, Inc","Waltham, MA",Business Services,Company - Private,51 to 200 employees,4.6,NaN,91.6,NaN,42.3764852,-71.2356113,MA
447,Senior Data Scientist,94000,123500,153000,Medidata Solutions,"New York, NY",Information Technology,Company - Public,1001 to 5000 employees,4.3,128.0,120.3,74495,40.7127753,-74.0059728,NY
448,"Principal Scientist, Hematology",54000,84500,115000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,82.3,47508,43.15657789999999,-77.6088465,NY
449,Data Analyst,50000,71000,92000,CALIBRE Systems,"Alexandria, VA",Information Technology,Company - Private,501 to 1000 employees,3.7,NaN,69.2,NaN,38.8048355,-77.0469214,VA
450,Software Data Engineer - College,49000,73000,97000,HP Inc.,"Corvallis, OR",Information Technology,Company - Public,10000+ employees,4.0,110.6,71.1,30655,44.5645659,-123.2620435,OR
451,"Director - Data, Privacy and AI Governance",67000,101000,135000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,98.4,50257,42.3600825,-71.0588801,MA
452,Staff Machine Learning Engineer,138000,181000,224000,Tapjoy,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,3.9,178.6,176.3,112611,37.7749295,-122.4194155,CA
453,Data Scientist,80000,109500,139000,Northrop Grumman,"San Diego, CA",Aerospace & Defense,Company - Public,10000+ employees,3.7,136.2,106.7,57399,32.715738,-117.1610838,CA
454,Lead Data Scientist,158000,184500,211000,Visa Inc.,"Bellevue, WA",Information Technology,Company - Public,10000+ employees,3.7,NaN,179.8,NaN,47.6101497,-122.2015159,WA
455,Senior Data Scientist - Algorithms,150000,165000,180000,Quartet Health,"New York, NY",Information Technology,Company - Private,201 to 500 employees,3.9,128.0,160.8,116065,40.7127753,-74.0059728,NY
456,Information Security Data Analyst,42000,61000,80000,Motorola Solutions,"Chicago, IL",Information Technology,Company - Public,10000+ employees,3.7,100.1,59.4,22664,41.8781136,-87.6297982,IL
457,Lead Data Engineer,190000,205000,220000,Credit Sesame,"Mountain View, CA",Information Technology,Company - Private,51 to 200 employees,4.1,NaN,199.7,NaN,37.3860517,-122.0838511,CA
458,Data Analyst,42000,59500,77000,Success Academy Charter Schools,"New York, NY",Education,School / School District,1001 to 5000 employees,3.1,128.0,58.0,10551,40.7127753,-74.0059728,NY
459,Scientist Manufacturing - Kentucky BioProcessing,68000,103500,139000,Reynolds American,"Owensboro, KY",Manufacturing,Company - Private,5001 to 10000 employees,3.1,86.6,100.8,70323,37.7719074,-87.1111676,KY
460,Consultant - Analytics Consulting,54000,62500,71000,Infosys,"Hartford, CT",Information Technology,Company - Public,10000+ employees,3.0,104.8,60.9,22405,41.7658043,-72.6733723,CT
461,Data Analytics Project Manager,34000,63000,92000,MassMutual,"Springfield, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,106.5,61.4,22268,42.1014831,-72.589811,MA
462,Data Analyst,47000,66000,85000,AXION Healthcare Solutions,"New York, NY",Health Care,Company - Private,1 to 50 employees,3.6,128.0,64.3,17017,40.7127753,-74.0059728,NY
463,Data Engineer,65000,94500,124000,Alignment Healthcare,"Orange, CA",Health Care,Company - Private,501 to 1000 employees,3.5,NaN,92.1,NaN,33.7879139,-117.8531007,CA
464,Data Scientist,56000,75500,95000,ExecOnline,"New York, NY",Education,Company - Private,51 to 200 employees,4.2,128.0,73.6,26563,40.7127753,-74.0059728,NY
465,Machine Learning Engineer,62000,87000,112000,Mteq,"Fort Belvoir, VA",Aerospace & Defense,Company - Public,501 to 1000 employees,4.0,NaN,84.8,NaN,38.71887160000001,-77.15426839999999,VA
466,Senior Data Scientist Oncology,107000,140000,173000,AstraZeneca,"Gaithersburg, MD",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,NaN,136.4,NaN,39.1439689,-77.2016062,MD
467,Data Scientist,64000,86000,108000,Brillient,"Silver Spring, MD",Information Technology,Company - Private,201 to 500 employees,3.7,NaN,83.8,NaN,38.99066570000001,-77.026088,MD
468,Senior Data Scientist,89000,116500,144000,Entefy,"Palo Alto, CA",Information Technology,Company - Private,1 to 50 employees,4.4,NaN,113.5,NaN,37.4418834,-122.1430195,CA
469,Senior Scientist (Neuroscience),109000,154500,200000,Sunovion,"Marlborough, MA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,3.5,NaN,150.5,NaN,42.3459271,-71.5522874,MA
470,Machine Learning Engineer - Regulatory,61000,87000,113000,Cboe Global Markets,"Lenexa, KS",Finance,Company - Public,501 to 1000 employees,3.7,NaN,84.8,NaN,38.9536174,-94.73357089999999,KS
471,Marketing Data Analyst,35000,48500,62000,San Manuel Casino,"Highland, CA","Arts, Entertainment & Recreation",Company - Private,1001 to 5000 employees,3.6,NaN,47.3,NaN,34.1211873,-117.2015791,CA
472,Data Engineer,55000,80000,105000,Trace3,"Houston, TX",Information Technology,Company - Private,501 to 1000 employees,3.4,95.8,77.9,43298,29.7604267,-95.3698028,TX
473,R&D Specialist/ Food Scientist,39000,52500,66000,Teasdale Latin Foods,"Hoopeston, IL",Manufacturing,Company - Private,501 to 1000 employees,2.4,NaN,51.1,NaN,40.4672587,-87.6683573,IL
474,Principal Data Scientist,135000,173000,211000,Northrop Grumman,"San Jose, CA",Aerospace & Defense,Company - Public,10000+ employees,3.7,173.5,168.6,106660,37.33874,-121.8852525,CA
475,Data Engineer,57000,68500,80000,Saama Technologies Inc,"Phoenix, AZ",Biotech & Pharmaceuticals,Company - Private,501 to 1000 employees,3.5,104.3,66.7,28549,33.4483771,-112.0740373,AZ
476,Data Scientist - Alpha Insights,129000,172000,215000,Two Sigma,"New York, NY",Finance,Company - Private,1001 to 5000 employees,4.4,128.0,167.6,123044,40.7127753,-74.0059728,NY
477,"Data Scientist, Office of Data Science",86000,114500,143000,Liberty Mutual Insurance,"Boston, MA",Insurance,Company - Private,10000+ employees,3.3,132.6,111.6,63806,42.3600825,-71.0588801,MA
478,"Associate Principal Scientist, Pharmacogenomics",63000,95000,127000,AstraZeneca,"Gaithersburg, MD",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,NaN,92.6,NaN,39.1439689,-77.2016062,MD
479,Data Scientist - Systems Engineering,50000,69500,89000,MITRE,"Bedford, MA",Government,Nonprofit Organization,5001 to 10000 employees,3.2,NaN,67.7,NaN,42.4906231,-71.2760089,MA
480,Data Engineer,43000,64500,86000,Guidepoint,"New York, NY",Business Services,Company - Private,501 to 1000 employees,3.2,128.0,62.8,15477,40.7127753,-74.0059728,NY
481,"Scientist, Bacteriology",74000,111500,149000,Cerus Corporation,"Concord, CA",Biotech & Pharmaceuticals,Company - Public,201 to 500 employees,2.1,NaN,108.6,NaN,37.9779776,-122.0310733,CA
482,Data Scientist,71000,97500,124000,Strategic Financial Solutions,"New York, NY",Consumer Services,Company - Private,501 to 1000 employees,4.0,128.0,95.0,48528,40.7127753,-74.0059728,NY
483,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",113000,154500,196000,Takeda Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,NaN,150.5,NaN,42.3736158,-71.10973349999999,MA
484,Senior Research Scientist-Machine Learning,81000,124000,167000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,120.8,88364,40.44062479999999,-79.9958864,PA
485,Data Scientist,69000,95000,121000,"Remedy BPCI Partners, LLC.","New York, NY",Health Care,Company - Private,201 to 500 employees,3.4,128.0,92.6,46064,40.7127753,-74.0059728,NY
486,Senior Data Scientist,97000,128500,160000,Maven Wave Partners,"Chicago, IL",Business Services,Company - Private,201 to 500 employees,4.4,100.1,125.2,90201,41.8781136,-87.6297982,IL
487,Principal Data Scientist,150000,194000,238000,The Climate Corporation,"San Francisco, CA",Information Technology,Subsidiary or Business Segment,501 to 1000 employees,3.2,178.6,189.0,125647,37.7749295,-122.4194155,CA
488,Data Scientist,77000,104500,132000,Crossix Solutions,"New York, NY",Business Services,Company - Public,201 to 500 employees,3.5,128.0,101.8,55507,40.7127753,-74.0059728,NY
489,Data Engineer - Consultant (Charlotte Based),59000,85500,112000,Clarity Insights,"Charlotte, NC",Information Technology,Company - Private,201 to 500 employees,4.2,97.9,83.3,48037,35.2270869,-80.8431267,NC
490,"Data Analyst 1, full-time contract worker for up to 12 months",35000,50000,65000,The Church of Jesus Christ of Latter-day Saints,"Salt Lake City, UT",Non-Profit,Nonprofit Organization,10000+ employees,4.2,105.9,48.7,9462,40.7607793,-111.8910474,UT
491,Data Engineer,79000,113000,147000,NCSOFT,"Aliso Viejo, CA",Media,Company - Public,1001 to 5000 employees,3.1,NaN,110.1,NaN,33.5684605,-117.7262981,CA
492,"Scientist, Immuno-Oncology",62000,90500,119000,GSK,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,NaN,88.2,NaN,42.3736158,-71.10973349999999,MA
493,Senior Data Scientist,119000,153000,187000,Factual,"Los Angeles, CA",Information Technology,Company - Private,51 to 200 employees,4.3,140.6,149.1,99234,34.0522342,-118.2436849,CA
494,Products Data Analyst II,90000,123500,157000,TriNet,"Dublin, CA",Business Services,Company - Public,1001 to 5000 employees,3.3,NaN,120.3,NaN,37.7159396,-121.9101221,CA
495,Lead Data Analyst,32000,47000,62000,Signpost,"New York, NY",Information Technology,Company - Private,201 to 500 employees,3.9,128.0,45.8,-1971,40.7127753,-74.0059728,NY
496,Analytics Manager - Data Mart,42000,64000,86000,Central California Alliance for Health,"Scotts Valley, CA",Health Care,Nonprofit Organization,501 to 1000 employees,3.5,NaN,62.4,NaN,37.048345,-122.0168296,CA
497,Data Science Engineer - Mobile,116000,162000,208000,Adobe,"San Jose, CA",Information Technology,Company - Public,10000+ employees,4.0,173.5,157.8,95574,37.33874,-121.8852525,CA
498,Senior Data Scientist - R&D Oncology,102000,137000,172000,AstraZeneca,"New York, NY",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,128.0,133.5,88044,40.7127753,-74.0059728,NY
499,Sr. Data Engineer - Contract-to-Hire (Java),69000,98000,127000,Pilot Flying J Travel Centers LLC,"Knoxville, TN",Retail,Company - Private,10000+ employees,3.0,91.6,95.5,62970,35.9606384,-83.9207392,TN
500,Data Scientist,86000,115000,144000,Swiss Re,"Armonk, NY",Insurance,Company - Public,10000+ employees,3.7,NaN,112.0,NaN,41.1264849,-73.71401949999999,NY
501,Senior Data Scientist,102000,133500,165000,Sartorius,"Arvada, CO",Biotech & Pharmaceuticals,Company - Public,5001 to 10000 employees,3.5,NaN,130.1,NaN,39.8027644,-105.0874842,CO
502,Data Engineer,74000,99000,124000,Pinnacol Assurance,"Denver, CO",Insurance,Nonprofit Organization,501 to 1000 employees,4.0,112.1,96.5,56151,39.7392358,-104.990251,CO
503,Food Scientist - Developer,40000,54000,68000,Palermo's Pizza,"Milwaukee, WI",Manufacturing,Company - Private,501 to 1000 employees,3.3,93.8,52.6,18095,43.0389025,-87.9064736,WI
504,Senior Data Engineer,76000,109000,142000,Equian LLC,"Franklin, TN",Health Care,Company - Private,1001 to 5000 employees,3.2,NaN,106.2,NaN,35.9250637,-86.8688899,TN
505,Data Engineer,76000,109000,142000,MetroStar Systems,"Rockville, MD",Information Technology,Company - Private,201 to 500 employees,3.4,NaN,106.2,NaN,39.0839973,-77.1527578,MD
506,Senior Data Scientist,108000,139500,171000,MathWorks,"Natick, MA",Information Technology,Company - Private,1001 to 5000 employees,4.4,NaN,135.9,NaN,42.2775281,-71.3468091,MA
507,"Director II, Data Science - GRM Actuarial",202000,254000,306000,Liberty Mutual Insurance,"Chicago, IL",Insurance,Company - Private,10000+ employees,3.3,100.1,247.5,215730,41.8781136,-87.6297982,IL
508,Machine Learning Engineer,91000,125000,159000,Information Builders,"New York, NY",Information Technology,Company - Private,1001 to 5000 employees,3.2,128.0,121.8,76035,40.7127753,-74.0059728,NY
509,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",80000,106500,133000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,103.8,NaN,42.3736158,-71.10973349999999,MA
510,"Scientist, Molecular/Cellular Biologist",49000,73000,97000,Audentes Therapeutics,"South San Francisco, CA",Biotech & Pharmaceuticals,Subsidiary or Business Segment,201 to 500 employees,2.9,NaN,71.1,NaN,37.654656,-122.4077498,CA
511,Staff Scientist-Downstream Process Development,49000,81000,113000,Advanced BioScience Laboratories,"Rockville, MD",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,2.7,NaN,78.9,NaN,39.0839973,-77.1527578,MD
512,Scientist - Analytical Services,65000,99500,134000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,96.9,64560,36.09985959999999,-80.244216,NC
513,Associate Data Analyst- Graduate Development Program,32000,45500,59000,National Interstate,"Richfield, OH",Insurance,Company - Private,501 to 1000 employees,3.3,NaN,44.3,NaN,41.2397772,-81.6381785,OH
514,IT Associate Data Analyst,39000,54000,69000,The Hanover Insurance Group,"Worcester, MA",Insurance,Company - Public,5001 to 10000 employees,3.7,113.2,52.6,10672,42.2625932,-71.8022934,MA
515,Sr. Data Engineer,87000,122500,158000,Moser Consulting,"Indianapolis, IN",Business Services,Company - Private,51 to 200 employees,4.5,90.2,119.3,87934,39.768403,-86.158068,IN
516,Clinical Data Analyst,27000,37500,48000,Greenway Health,"Tampa, FL",Information Technology,Subsidiary or Business Segment,1001 to 5000 employees,3.0,101.4,36.5,-1338,27.950575,-82.4571776,FL
517,Business Data Analyst,36000,53500,71000,Fareportal,"New York, NY",Travel & Tourism,Company - Private,1001 to 5000 employees,3.8,128.0,52.1,4495,40.7127753,-74.0059728,NY
518,Senior Insurance Data Scientist,107000,140000,173000,TransUnion,"Chicago, IL",Finance,Company - Public,5001 to 10000 employees,3.9,100.1,136.4,101697,41.8781136,-87.6297982,IL
519,Senior Data Science Systems Engineer,56000,77500,99000,MITRE,"Hampton, VA",Government,Nonprofit Organization,5001 to 10000 employees,3.2,NaN,75.5,NaN,37.0298687,-76.34522179999999,VA
520,Senior Scientist - Regulatory Submissions,80000,117500,155000,Reynolds American,"Winston-Salem, NC",Manufacturing,Company - Private,5001 to 10000 employees,3.1,91.2,114.5,82624,36.09985959999999,-80.244216,NC
521,Scientist - Biomarker and Flow Cytometry,43000,70500,98000,Crown Bioscience,"San Diego, CA",Biotech & Pharmaceuticals,Company - Private,501 to 1000 employees,2.4,136.2,68.7,18395,32.715738,-117.1610838,CA
522,"Associate Scientist, LC/MS Biologics",44000,70000,96000,Q2 Solutions,"Ithaca, NY",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,2.9,101.7,68.2,31084,42.4439614,-76.5018807,NY
523,Revenue Analytics Manager,45000,61500,78000,HOVER,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.8,178.6,59.9,-6862,37.7749295,-122.4194155,CA
524,Sr. Scientist Method Development,50000,80000,110000,Q2 Solutions,"Marietta, GA",Biotech & Pharmaceuticals,Company - Private,1001 to 5000 employees,2.9,NaN,77.9,NaN,33.95260200000001,-84.5499327,GA
525,Data Scientist,60000,79500,99000,Oversight Systems,"Atlanta, GA",Information Technology,Company - Private,51 to 200 employees,4.7,100.3,77.5,41165,33.7489954,-84.3879824,GA
526,Data Scientist - Sales,130000,168000,206000,Confluent,"Mountain View, CA",Information Technology,Company - Private,501 to 1000 employees,4.7,NaN,163.7,NaN,37.3860517,-122.0838511,CA
527,IT - Data Engineer II,61000,90000,119000,Arbella Insurance,"Quincy, MA",Insurance,Company - Private,1001 to 5000 employees,3.4,NaN,87.7,NaN,42.2528772,-71.0022705,MA
528,Senior Data Analyst,99000,138500,178000,Life360,"San Francisco, CA",Information Technology,Company - Public,51 to 200 employees,3.9,178.6,134.9,70118,37.7749295,-122.4194155,CA
529,"Principal, Data Science - Advanced Analytics",86000,111500,137000,IQVIA,"Plymouth Meeting, PA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.6,NaN,108.6,NaN,40.1023319,-75.2743467,PA
530,Data Science Project Manager,37000,68500,100000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,66.7,17720,42.3600825,-71.0588801,MA
531,"Sr Scientist, Immuno-Oncology - Oncology",58000,84500,111000,GSK,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.9,NaN,82.3,NaN,42.3736158,-71.10973349999999,MA
532,Senior Data Engineer,72000,102500,133000,Eventbrite,"Nashville, TN",Information Technology,Company - Public,1001 to 5000 employees,4.4,100.1,99.9,64233,36.1626638,-86.7816016,TN
533,"Project Scientist - Auton Lab, Robotics Institute",56000,73500,91000,Software Engineering Institute,"Pittsburgh, PA",Education,College / University,501 to 1000 employees,2.6,93.1,71.6,37865,40.44062479999999,-79.9958864,PA
534,Research Scientist – Security and Privacy,61000,93500,126000,Riverside Research Institute,"Beavercreek, OH",Government,Nonprofit Organization,501 to 1000 employees,3.6,NaN,91.1,NaN,39.7092262,-84.06326849999999,OH
535,Data Science Manager,95000,127500,160000,"Numeric, LLC","Allentown, PA",Business Services,Company - Private,1 to 50 employees,3.2,98.9,124.2,89634,40.6022939,-75.4714098,PA
536,Data Analyst 2 (Missionary Department),53000,72000,91000,The Church of Jesus Christ of Latter-day Saints,"Salt Lake City, UT",Non-Profit,Nonprofit Organization,10000+ employees,4.2,105.9,70.1,31427,40.7607793,-111.8910474,UT
537,"Enterprise Architect, Data",101000,129500,158000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,126.2,78791,42.3600825,-71.0588801,MA
538,Supply Chain Data Analyst,33000,47000,61000,Icon Health and Fitness,"Logan, UT",Manufacturing,Company - Private,1001 to 5000 employees,3.1,95.2,45.8,10580,41.7369803,-111.8338359,UT
539,Data Engineer - ETL,44000,65000,86000,Shipt,"Birmingham, AL",Consumer Services,Subsidiary or Business Segment,501 to 1000 employees,3.8,90.7,63.3,30264,33.5185892,-86.8103567,AL
540,Corporate Risk Data Analyst (SQL Based) - Milwaukee or,43000,60000,77000,Associated Banc-Corp,"Green Bay, WI",Finance,Company - Public,1001 to 5000 employees,3.8,91.4,58.5,25069,44.5133188,-88.0132958,WI
541,"Senior Manager, Epidemiologic Data Scientist",125000,167500,210000,Pfizer,"New York, NY",Biotech & Pharmaceuticals,Company - Public,10000+ employees,4.0,128.0,163.2,118528,40.7127753,-74.0059728,NY
542,"Marketing Data Analyst, May 2020 Undergrad",44000,65000,86000,Fareportal,"New York, NY",Travel & Tourism,Company - Private,1001 to 5000 employees,3.8,128.0,63.3,15991,40.7127753,-74.0059728,NY
543,Senior Data Analyst,69000,94000,119000,Novetta,"Herndon, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,91.6,NaN,38.9695545,-77.3860976,VA
544,Senior Data Analyst,65000,87500,110000,Moda Operandi,"New York, NY",Retail,Company - Private,201 to 500 employees,1.9,128.0,85.2,38469,40.7127753,-74.0059728,NY
545,Senior Data Engineer,67000,97000,127000,Novetta,"Reston, VA",Information Technology,Company - Private,501 to 1000 employees,4.0,NaN,94.5,NaN,38.9586307,-77.35700279999999,VA
546,Senior Data Engineer,78000,112500,147000,Genesys,"Durham, NC",Information Technology,Company - Private,5001 to 10000 employees,4.3,99.8,109.6,74304,35.9940329,-78.898619,NC
547,Data Modeler (Analytical Systems),66000,91500,117000,MassMutual,"Boston, MA",Insurance,Company - Private,5001 to 10000 employees,3.6,132.6,89.1,40712,42.3600825,-71.0588801,MA
548,Data Modeler - Data Solutions Engineer,37000,51500,66000,Liberty Mutual Insurance,"Indianapolis, IN",Insurance,Company - Private,10000+ employees,3.3,90.2,50.2,17009,39.768403,-86.158068,IN
549,Data Scientist in Translational Medicine,86000,114500,143000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,111.6,NaN,42.3736158,-71.10973349999999,MA
550,Data Scientist,84000,115000,146000,USEReady,"New York, NY",Business Services,Company - Private,201 to 500 employees,4.3,128.0,112.0,65976,40.7127753,-74.0059728,NY
551,Product Manager/Data Evangelist,50000,74000,98000,"Numeric, LLC","Phila, PA",Business Services,Company - Private,1 to 50 employees,3.2,NaN,72.1,NaN,39.9525839,-75.1652215,PA
552,Associate Environmental Scientist - Wildlife Biologist,38000,51000,64000,QK,"Clovis, CA",Business Services,Company - Private,51 to 200 employees,4.7,NaN,49.7,NaN,36.8252277,-119.7029194,CA
553,Sr Data Engineer (Sr BI Developer),90000,100000,110000,Tivity Health,"Chandler, AZ",Health Care,Company - Public,501 to 1000 employees,3.4,NaN,97.4,NaN,33.3061605,-111.8412502,AZ
554,"Senior Data Scientist – Visualization, Novartis AI Innovation Lab",92000,121000,150000,Novartis,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.8,NaN,117.9,NaN,42.3736158,-71.10973349999999,MA
555,Senior Data Analyst/Scientist,90000,121500,153000,Demandbase,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,4.5,178.6,118.4,53183,37.7749295,-122.4194155,CA
556,"Associate, Data Science, Internal Audit",43000,62500,82000,Santander,"Boston, MA",Finance,Company - Private,10000+ employees,3.1,132.6,60.9,11767,42.3600825,-71.0588801,MA
557,Senior LiDAR Data Scientist,93000,122000,151000,Luminar Technologies,"Orlando, FL",Information Technology,Company - Private,201 to 500 employees,3.9,101.4,118.9,83237,28.5383832,-81.3789269,FL
558,Data Engineer,61000,85000,109000,BRMi,"Chantilly, VA",Information Technology,Company - Private,51 to 200 employees,4.4,NaN,82.8,NaN,38.8942786,-77.43109919999999,VA
559,Data Engineer,42000,60500,79000,IntraEdge,"Scottsdale, AZ",Information Technology,Company - Private,501 to 1000 employees,3.4,NaN,58.9,NaN,33.4941704,-111.9260519,AZ
560,Lead Data Scientist,139000,180000,221000,Zest AI,"Burbank, CA",Finance,Company - Private,51 to 200 employees,3.9,NaN,175.4,NaN,34.1808392,-118.3089661,CA
561,"Technology-Minded, Data Professional Opportunities",40000,70500,101000,Veterans United Home Loans,"Columbia, MO",Finance,Company - Private,1001 to 5000 employees,4.7,89.8,68.7,36151,38.9517053,-92.3340724,MO
562,Big Data Engineer,84000,118500,153000,Peraton,"Chantilly, VA",Aerospace & Defense,Company - Private,1001 to 5000 employees,3.3,NaN,115.5,NaN,38.8942786,-77.43109919999999,VA
563,Salesforce Analytics Consultant,52000,66500,81000,"Emtec, Inc.","Chicago, IL",Information Technology,Company - Private,501 to 1000 employees,3.9,100.1,64.8,28206,41.8781136,-87.6297982,IL
564,Managing Data Scientist/ML Engineer,81000,107500,134000,PA Consulting,"Boston, MA",Business Services,Company - Private,1001 to 5000 employees,3.4,132.6,104.7,56723,42.3600825,-71.0588801,MA
565,Senior Data Engineer,97000,138500,180000,Praetorian,"Austin, TX",Business Services,Company - Private,51 to 200 employees,4.7,106.6,134.9,97670,30.267153,-97.7430608,TX
566,Staff Scientist- Upstream PD,49000,81000,113000,Advanced BioScience Laboratories,"Rockville, MD",Biotech & Pharmaceuticals,Company - Private,201 to 500 employees,2.7,NaN,78.9,NaN,39.0839973,-77.1527578,MD
567,Data Engineering Analyst,44000,58500,73000,COUNTRY Financial,"Bloomington, IL",Insurance,Company - Private,1001 to 5000 employees,3.8,89.0,57.0,24448,40.4842027,-88.99368729999999,IL
568,Sr. Data Engineer,75000,107500,140000,Echo Global Logistics,"Chicago, IL",Transportation & Logistics,Company - Public,1001 to 5000 employees,3.4,100.1,104.7,69160,41.8781136,-87.6297982,IL
569,"Scientist, Pharmacometrics",84000,120500,157000,Agios Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,501 to 1000 employees,3.8,NaN,117.4,NaN,42.3736158,-71.10973349999999,MA
570,Manager of Data Science,40000,63500,87000,Tapjoy,"San Francisco, CA",Information Technology,Company - Private,201 to 500 employees,3.9,178.6,61.9,-4809,37.7749295,-122.4194155,CA
571,Scientist Manufacturing Pharma - Kentucky BioProcessing,68000,103500,139000,Reynolds American,"Owensboro, KY",Manufacturing,Company - Private,5001 to 10000 employees,3.1,86.6,100.8,70323,37.7719074,-87.1111676,KY
572,Software Engineer (Data Scientist/Software Engineer) - SISW - MG,72000,107000,142000,Mentor Graphics,"Fremont, CA",Information Technology,Company - Public,5001 to 10000 employees,4.1,NaN,104.2,NaN,37.5485396,-121.988583,CA
573,Data Engineer,74000,105500,137000,Maxar Technologies,"Springfield, VA",Aerospace & Defense,Company - Public,5001 to 10000 employees,3.7,NaN,102.8,NaN,38.7892801,-77.18720359999999,VA
574,Data Engineer,57000,83000,109000,ICW Group,"San Diego, CA",Insurance,Company - Private,501 to 1000 employees,2.8,136.2,80.9,30917,32.715738,-117.1610838,CA
